row,name,knob,region,SAM,SID,ERGAS,PSNR,SSIM,DE,S_SAM,S_SID,S_ERGAS,S_PSNR,S_DE,S_SPEC,S_SPAT,SSC
M6,destriping,own profile,object,1.5423,0.00447393,3.59391,38.4358,0.980364,0.93236,0.745049,0.815396,0.333926,0.614528,0.737493,0.578242,0.797446,0.668741
M6,destriping,own profile,table,24.1678,1.83821,58.9281,29.4041,0.798834,4.17587,0.00941289,1e-06,4.63722e-05,0.313472,0.26767,5.08745e-05,0.556153,0.00437323
M6,destriping,own profile,background,7.8673,0.287575,18.6216,34.7821,0.936242,2.23041,0.223558,0.011644,0.0124099,0.492735,0.505746,0.0231206,0.714488,0.0987189
M6,destriping,train template,full,5.08933,0.0369587,3.74886,45.6958,0.984081,0.865438,0.36927,0.163501,0.312665,0.856528,0.750439,0.262549,0.920305,0.473311
M6,destriping,train template,object,1.19991,0.00120587,1.82491,50.78,0.995262,0.373071,0.796986,0.944998,0.550111,0.984329,0.88428,0.744351,0.989796,0.842873
M6,destriping,train template,table,19.3123,0.266958,17.9666,39.0981,0.93437,2.21812,0.0215316,1.34962e-05,0.00264428,0.636604,0.477551,0.000758928,0.785487,0.021486
M6,destriping,train template,background,5.8738,0.0320808,7.57931,45.815,0.983283,1.01834,0.309922,0.226341,0.0865053,0.860501,0.712213,0.173245,0.921892,0.383155
M7,gain error,global +1%,full,0.0207907,1.69987e-08,1.7113,54.8868,0.999978,0.148838,0.995851,0.999999,0.567039,1,0.951646,0.825981,0.999989,0.902
M7,gain error,global +1%,object,0.00668657,1.41464e-08,1.25088,51.9399,0.999971,0.209105,0.998664,0.999999,0.659602,1,0.932711,0.869936,0.999985,0.922971
M7,gain error,global +1%,table,0.0851413,1.73461e-08,1.70453,62.1713,0.999974,0.0658309,0.983116,0.999999,0.566598,1,0.978295,0.822785,0.999987,0.904088
M7,gain error,global +1%,background,0.0217858,1.82314e-08,1.404,57.3268,0.999985,0.11597,0.995652,0.999999,0.630648,1,0.962082,0.855006,0.999993,0.919136
M7,gain error,global -1%,full,0.0210123,1.70151e-08,1.7113,54.7956,0.999978,0.148972,0.995807,0.999999,0.567039,1,0.951601,0.825968,0.999989,0.901987
M7,gain error,global -1%,object,0.00689985,1.41683e-08,1.25088,51.8354,0.99997,0.208964,0.998621,0.999999,0.659602,1,0.932752,0.869923,0.999985,0.92297
M7,gain error,global -1%,table,0.085999,1.73448e-08,1.70453,62.1211,0.999974,0.066253,0.982948,0.999999,0.566598,1,0.978158,0.822738,0.999987,0.904043
M7,gain error,global -1%,background,0.0218956,1.82432e-08,1.404,57.2695,0.999985,0.116523,0.995631,0.999999,0.630648,1,0.961905,0.855,0.999993,0.919107
M7,gain error,global +3%,full,0.020726,1.69981e-08,5.13391,45.4803,0.999824,0.437676,0.995864,0.999999,0.185864,0.849342,0.864575,0.566264,0.924583,0.715416
